doi,doi_url
10.3390/land11071055,https://doi.org/10.3390/land11071055
10.3390/app12125853,https://doi.org/10.3390/app12125853
10.3390/su14106106,https://doi.org/10.3390/su14106106
10.3390/en15093447,https://doi.org/10.3390/en15093447
10.3390/en15072610,https://doi.org/10.3390/en15072610
10.3390/su14073910,https://doi.org/10.3390/su14073910
10.3390/buildings12030366,https://doi.org/10.3390/buildings12030366
10.3390/buildings12030263,https://doi.org/10.3390/buildings12030263
10.3390/en15030829,https://doi.org/10.3390/en15030829
10.3390/en15041314,https://doi.org/10.3390/en15041314
10.3390/en15030891,https://doi.org/10.3390/en15030891
