doi,doi_url
10.3390/en18112682,https://doi.org/10.3390/en18112682
10.3390/su17115176,https://doi.org/10.3390/su17115176
10.3390/buildings15122100,https://doi.org/10.3390/buildings15122100
10.3390/en18092375,https://doi.org/10.3390/en18092375
10.3390/buildings15101593,https://doi.org/10.3390/buildings15101593
10.3390/buildings15091434,https://doi.org/10.3390/buildings15091434
10.3390/buildings15101675,https://doi.org/10.3390/buildings15101675
10.3390/buildings15101648,https://doi.org/10.3390/buildings15101648
10.3390/designs9020041,https://doi.org/10.3390/designs9020041
10.3390/buildings15071123,https://doi.org/10.3390/buildings15071123
10.3390/designs9020031,https://doi.org/10.3390/designs9020031
