doi,doi_url
10.3390/eng6110292,https://doi.org/10.3390/eng6110292
10.3390/en18226042,https://doi.org/10.3390/en18226042
10.3390/buildings15213878,https://doi.org/10.3390/buildings15213878
10.3390/buildings15224130,https://doi.org/10.3390/buildings15224130
10.3390/buildings15224105,https://doi.org/10.3390/buildings15224105
10.3390/urbansci9110455,https://doi.org/10.3390/urbansci9110455
10.3390/buildings15213825,https://doi.org/10.3390/buildings15213825
10.3390/biomimetics10100711,https://doi.org/10.3390/biomimetics10100711
10.3390/jimaging11100334,https://doi.org/10.3390/jimaging11100334
10.3390/su17188308,https://doi.org/10.3390/su17188308
10.3390/buildings15162977,https://doi.org/10.3390/buildings15162977
