doi,doi_url
10.13128/Techne-22702,https://doi.org/10.13128/Techne-22702
10.13128/Techne-23108,https://doi.org/10.13128/Techne-23108
10.7480/jfde.2018.1.1781,https://doi.org/10.7480/jfde.2018.1.1781
10.24425/118966,https://doi.org/10.24425/118966
10.52842/conf.caadria.2018.2.185,https://doi.org/10.52842/conf.caadria.2018.2.185
10.2480/agrmet.D-17-00047,https://doi.org/10.2480/agrmet.D-17-00047
10.1201/9780429506208-81,https://doi.org/10.1201/9780429506208-81
10.7480/jfde.2018.3.2531,https://doi.org/10.7480/jfde.2018.3.2531
10.18720/MCE.81.5,https://doi.org/10.18720/MCE.81.5
10.7480/jfde.2018.3.2477,https://doi.org/10.7480/jfde.2018.3.2477
10.18720/MCE.80.6,https://doi.org/10.18720/MCE.80.6
