doi,doi_url
10.1049/iet-rpg.2018.6127,https://doi.org/10.1049/iet-rpg.2018.6127
10.3992/1943-4618.14.4.1,https://doi.org/10.3992/1943-4618.14.4.1
10.1108/JCHMSD-09-2018-0066,https://doi.org/10.1108/JCHMSD-09-2018-0066
10.18260/1-2--33053,https://doi.org/10.18260/1-2--33053
10.1108/ECAM-11-2017-0242,https://doi.org/10.1108/ECAM-11-2017-0242
10.33383/2018-038,https://doi.org/10.33383/2018-038
10.46855/energy-proceedings-2995,https://doi.org/10.46855/energy-proceedings-2995
10.7480/jfde.2019.1.2778,https://doi.org/10.7480/jfde.2019.1.2778
10.7480/jfde.2019.2.2467,https://doi.org/10.7480/jfde.2019.2.2467
10.7480/jfde.2019.1.2662,https://doi.org/10.7480/jfde.2019.1.2662
10.1117/12.2514132,https://doi.org/10.1117/12.2514132
