doi,doi_url
10.63044/s23alm58,https://doi.org/10.63044/s23alm58
10.26868/25222708.2023.1446,https://doi.org/10.26868/25222708.2023.1446
10.47982/jfde.2023.1.03,https://doi.org/10.47982/jfde.2023.1.03
10.26868/25222708.2023.1455,https://doi.org/10.26868/25222708.2023.1455
10.24425/ace.2023.147672,https://doi.org/10.24425/ace.2023.147672
10.52202/069179-0511,https://doi.org/10.52202/069179-0511
10.37934/aram.110.1.3751,https://doi.org/10.37934/aram.110.1.3751
10.1201/9781003348443-122,https://doi.org/10.1201/9781003348443-122
10.23919/SpliTech58164.2023.10193153,https://doi.org/10.23919/SpliTech58164.2023.10193153
10.52842/conf.ecaade.2023.1.439,https://doi.org/10.52842/conf.ecaade.2023.1.439
10.13189/cea.2023.110221,https://doi.org/10.13189/cea.2023.110221
