doi,doi_url
10.2749/101686608783726641,https://doi.org/10.2749/101686608783726641
10.52842/conf.acadia.2008.246,https://doi.org/10.52842/conf.acadia.2008.246
10.52842/conf.acadia.2007.182,https://doi.org/10.52842/conf.acadia.2007.182
10.52842/conf.acadia.2007.284,https://doi.org/10.52842/conf.acadia.2007.284
10.1049/cp:20070350,https://doi.org/10.1049/cp:20070350
10.4018/978-1-59904-328-9.ch014,https://doi.org/10.4018/978-1-59904-328-9.ch014
10.1260/136943307783239327,https://doi.org/10.1260/136943307783239327
10.1074/jbc.M609125200,https://doi.org/10.1074/jbc.M609125200
10.1260/026635107782218877,https://doi.org/10.1260/026635107782218877
10.4271/2007-01-3056,https://doi.org/10.4271/2007-01-3056
