doi,doi_url
10.13140/rg.2.2.19636.72327,https://doi.org/10.13140/rg.2.2.19636.72327
10.1186/s43065-020-00011-0,https://doi.org/10.1186/s43065-020-00011-0
10.1039/c9se01246j,https://doi.org/10.1039/c9se01246j
10.1371/journal.pone.0231554,https://doi.org/10.1371/journal.pone.0231554
10.18280/ijdne.150210,https://doi.org/10.18280/ijdne.150210
10.5749/envispacplac.12.1.0110,https://doi.org/10.5749/envispacplac.12.1.0110
10.52842/conf.caadria.2020.1.579,https://doi.org/10.52842/conf.caadria.2020.1.579
10.21533/pen.v8.i3.1222,https://doi.org/10.21533/pen.v8.i3.1222
10.52842/conf.ecaade.2020.1.133,https://doi.org/10.52842/conf.ecaade.2020.1.133
10.52842/conf.caadria.2020.1.035,https://doi.org/10.52842/conf.caadria.2020.1.035
10.1117/12.2558972,https://doi.org/10.1117/12.2558972
