doi,doi_url
10.5151/proceedings-ecaadesigradi2019_459,https://doi.org/10.5151/proceedings-ecaadesigradi2019_459
10.7480/jfde.2019.2.2463,https://doi.org/10.7480/jfde.2019.2.2463
10.5176/2301-394X_ACE19.526,https://doi.org/10.5176/2301-394X_ACE19.526
10.26868/25222708.2019.210517,https://doi.org/10.26868/25222708.2019.210517
10.7712/120119.7066.18385,https://doi.org/10.7712/120119.7066.18385
10.26868/25222708.2019.211013,https://doi.org/10.26868/25222708.2019.211013
10.26868/25222708.2019.210786,https://doi.org/10.26868/25222708.2019.210786
10.1201/9780429426506-171,https://doi.org/10.1201/9780429426506-171
10.26868/25222708.2019.210474,https://doi.org/10.26868/25222708.2019.210474
10.26868/25222708.2019.210898,https://doi.org/10.26868/25222708.2019.210898
10.1201/9780429426506-179,https://doi.org/10.1201/9780429426506-179
