doi,doi_url
10.18494/SAM.2019.2147,https://doi.org/10.18494/SAM.2019.2147
10.7480/jfde.2019.1.2620,https://doi.org/10.7480/jfde.2019.1.2620
10.26868/25222708.2019.211405,https://doi.org/10.26868/25222708.2019.211405
10.2514/1.J057186,https://doi.org/10.2514/1.J057186
10.5151/proceedings-ecaadesigradi2019_446,https://doi.org/10.5151/proceedings-ecaadesigradi2019_446
10.1201/9781315229126-82,https://doi.org/10.1201/9781315229126-82
10.2749/newyork.2019.0352,https://doi.org/10.2749/newyork.2019.0352
10.5151/proceedings-ecaadesigradi2019_305,https://doi.org/10.5151/proceedings-ecaadesigradi2019_305
10.2749/newyork.2019.0767,https://doi.org/10.2749/newyork.2019.0767
10.1201/9781315229126-32,https://doi.org/10.1201/9781315229126-32
10.5151/proceedings-ecaadesigradi2019_407,https://doi.org/10.5151/proceedings-ecaadesigradi2019_407
