doi,doi_url
10.1201/b15267-164,https://doi.org/10.1201/b15267-164
10.1201/b15002-95,https://doi.org/10.1201/b15002-95
10.3130/jaabe.12.237,https://doi.org/10.3130/jaabe.12.237
10.1201/b15685,https://doi.org/10.1201/b15685
10.1201/b14563-19,https://doi.org/10.1201/b14563-19
10.7873/date.2013.191,https://doi.org/10.7873/date.2013.191
10.52842/conf.acadia.2013.437,https://doi.org/10.52842/conf.acadia.2013.437
10.1533/9780857093530.3.468,https://doi.org/10.1533/9780857093530.3.468
10.4305/METU.JFA.2013.1.5,https://doi.org/10.4305/METU.JFA.2013.1.5
10.52842/conf.acadia.2013.243,https://doi.org/10.52842/conf.acadia.2013.243
