doi,doi_url
10.4271/2000-01-2463,https://doi.org/10.4271/2000-01-2463
10.2172/1416948,https://doi.org/10.2172/1416948
10.2312/eggh/eggh94/058-069,https://doi.org/10.2312/eggh/eggh94/058-069
10.2150/jlve.11.2_49,https://doi.org/10.2150/jlve.11.2_49
10.2514/6.1987-1568,https://doi.org/10.2514/6.1987-1568
10.2739/kurumemedj.31.309,https://doi.org/10.2739/kurumemedj.31.309
10.2514/3.28018,https://doi.org/10.2514/3.28018
10.3181/00379727-130-33710,https://doi.org/10.3181/00379727-130-33710
10.2514/3.27686,https://doi.org/10.2514/3.27686
10.1093/oxfordjournals.aob.a083384,https://doi.org/10.1093/oxfordjournals.aob.a083384
