doi,doi_url
10.1108/JCHMSD-12-2020-0174,https://doi.org/10.1108/JCHMSD-12-2020-0174
10.1108/ARCH-09-2021-0255,https://doi.org/10.1108/ARCH-09-2021-0255
10.3103/S0003701X22600497,https://doi.org/10.3103/S0003701X22600497
10.15627/jd.2022.2,https://doi.org/10.15627/jd.2022.2
10.1017/pds.2022.257,https://doi.org/10.1017/pds.2022.257
10.48044/jauf.2022.008,https://doi.org/10.48044/jauf.2022.008
10.1108/ECAM-07-2020-0559,https://doi.org/10.1108/ECAM-07-2020-0559
10.52842/conf.caadria.2022.1.141,https://doi.org/10.52842/conf.caadria.2022.1.141
10.47982/jfde.2022.1.06,https://doi.org/10.47982/jfde.2022.1.06
10.14455/ISEC.2022.9(1).AAE-18,https://doi.org/10.14455/ISEC.2022.9(1).AAE-18
10.47982/jfde.2022.1.02,https://doi.org/10.47982/jfde.2022.1.02
