doi,doi_url
10.1520/JAI104124,https://doi.org/10.1520/JAI104124
10.52842/conf.acadia.2012.401,https://doi.org/10.52842/conf.acadia.2012.401
10.52842/conf.ecaade.2012.2.391,https://doi.org/10.52842/conf.ecaade.2012.2.391
10.18086/swc.2011.17.30,https://doi.org/10.18086/swc.2011.17.30
10.1260/1478-0771.9.4.397,https://doi.org/10.1260/1478-0771.9.4.397
10.22260/isarc2011/0043,https://doi.org/10.22260/isarc2011/0043
10.1117/12.885720,https://doi.org/10.1117/12.885720
10.5281/zenodo.1072214,https://doi.org/10.5281/zenodo.1072214
10.1260/1478-0771.9.1.77,https://doi.org/10.1260/1478-0771.9.1.77
10.52842/conf.acadia.2011.170,https://doi.org/10.52842/conf.acadia.2011.170
