doi,doi_url
10.2514/6.2018-5135,https://doi.org/10.2514/6.2018-5135
10.52842/conf.ecaade.2018.1.605,https://doi.org/10.52842/conf.ecaade.2018.1.605
10.1117/12.2295363,https://doi.org/10.1117/12.2295363
10.1117/12.2304291,https://doi.org/10.1117/12.2304291
10.26375/disegno.2.2018.10,https://doi.org/10.26375/disegno.2.2018.10
10.2514/1.C034258,https://doi.org/10.2514/1.C034258
10.17660/ActaHortic.2017.1170.115,https://doi.org/10.17660/ActaHortic.2017.1170.115
10.18260/1-2--28052,https://doi.org/10.18260/1-2--28052
10.15627/jd.2017.1,https://doi.org/10.15627/jd.2017.1
10.7712/120117.5700.17756,https://doi.org/10.7712/120117.5700.17756
10.52842/conf.ecaade.2017.2.231,https://doi.org/10.52842/conf.ecaade.2017.2.231
