doi,doi_url
10.1068/b38121,https://doi.org/10.1068/b38121
10.52842/conf.ecaade.2014.2.179,https://doi.org/10.52842/conf.ecaade.2014.2.179
10.22260/isarc2014/0011,https://doi.org/10.22260/isarc2014/0011
10.21437/interspeech.2014-120,https://doi.org/10.21437/interspeech.2014-120
10.52842/conf.caadria.2014.931,https://doi.org/10.52842/conf.caadria.2014.931
10.2749/222137814814069048,https://doi.org/10.2749/222137814814069048
10.26868/25222708.2013.1400,https://doi.org/10.26868/25222708.2013.1400
10.26868/25222708.2013.1000,https://doi.org/10.26868/25222708.2013.1000
10.4067/S0717-69962013000200015,https://doi.org/10.4067/S0717-69962013000200015
10.1108/ohi-03-2013-b0003,https://doi.org/10.1108/ohi-03-2013-b0003
