doi,doi_url
10.52842/conf.acadia.2011.334,https://doi.org/10.52842/conf.acadia.2011.334
10.22260/isarc2011/0177,https://doi.org/10.22260/isarc2011/0177
10.52842/conf.ecaade.2011.619,https://doi.org/10.52842/conf.ecaade.2011.619
10.52842/conf.acadia.2010.243,https://doi.org/10.52842/conf.acadia.2010.243
10.1057/jba.2010.5,https://doi.org/10.1057/jba.2010.5
10.3992/jgb.5.4.121,https://doi.org/10.3992/jgb.5.4.121
10.3109/00313021003636469,https://doi.org/10.3109/00313021003636469
10.21273/horttech.20.2.283,https://doi.org/10.21273/horttech.20.2.283
10.52842/conf.caadria.2009.195,https://doi.org/10.52842/conf.caadria.2009.195
10.1074/jbc.M801470200,https://doi.org/10.1074/jbc.M801470200
