doi,doi_url
10.1063/5.0170347,https://doi.org/10.1063/5.0170347
10.1680/jsmic.23.00015,https://doi.org/10.1680/jsmic.23.00015
10.22452/jdbe.vol23no1.3,https://doi.org/10.22452/jdbe.vol23no1.3
10.15627/JD.2023.2,https://doi.org/10.15627/JD.2023.2
10.1063/5.0138985,https://doi.org/10.1063/5.0138985
10.55670/fpll.futech.2.2.2,https://doi.org/10.55670/fpll.futech.2.2.2
10.1063/5.0112023,https://doi.org/10.1063/5.0112023
10.1680/jener.21.00102,https://doi.org/10.1680/jener.21.00102
10.1073/pnas.2210351120,https://doi.org/10.1073/pnas.2210351120
10.37934/araset.29.3.6276,https://doi.org/10.37934/araset.29.3.6276
10.1089/3dp.2022.0061,https://doi.org/10.1089/3dp.2022.0061
