doi,doi_url
10.15627/jd.2024.9,https://doi.org/10.15627/jd.2024.9
10.52842/conf.ecaade.2024.1.273,https://doi.org/10.52842/conf.ecaade.2024.1.273
10.32604/fhmt.2024.051541,https://doi.org/10.32604/fhmt.2024.051541
10.23919/SpliTech61897.2024.10612450,https://doi.org/10.23919/SpliTech61897.2024.10612450
10.31399/asm.cp.smst2024p0064,https://doi.org/10.31399/asm.cp.smst2024p0064
10.71846/18-wcee-2566,https://doi.org/10.71846/18-wcee-2566
10.23919/ANNSIM61499.2024.10732831,https://doi.org/10.23919/ANNSIM61499.2024.10732831
10.52842/conf.ecaade.2024.1.361,https://doi.org/10.52842/conf.ecaade.2024.1.361
10.23919/annsim61499.2024.10732831,https://doi.org/10.23919/annsim61499.2024.10732831
10.1201/9781003434313-4,https://doi.org/10.1201/9781003434313-4
10.1201/9781003415695-6,https://doi.org/10.1201/9781003415695-6
