doi,doi_url
10.15627/jd.2025.25,https://doi.org/10.15627/jd.2025.25
10.18860/jia.v8i4.25911,https://doi.org/10.18860/jia.v8i4.25911
10.1201/9781003513834-8,https://doi.org/10.1201/9781003513834-8
10.47556/J.WJSTSD.20.4.2025.1,https://doi.org/10.47556/J.WJSTSD.20.4.2025.1
10.52842/conf.caadria.2025.2.449,https://doi.org/10.52842/conf.caadria.2025.2.449
10.13124/9788860462022_22,https://doi.org/10.13124/9788860462022_22
10.26868/25222708.2025.1306,https://doi.org/10.26868/25222708.2025.1306
10.21741/9781644903391-38,https://doi.org/10.21741/9781644903391-38
10.29227/IM-2025-02-02-106,https://doi.org/10.29227/IM-2025-02-02-106
10.23968/2500-0055-2025-10-3-28-39,https://doi.org/10.23968/2500-0055-2025-10-3-28-39
10.1117/12.3062320,https://doi.org/10.1117/12.3062320
