doi,doi_url
10.21608/auej.2023.243338.1449,https://doi.org/10.21608/auej.2023.243338.1449
10.62476/ndi83567,https://doi.org/10.62476/ndi83567
10.13189/cea.2024.120125,https://doi.org/10.13189/cea.2024.120125
10.52842/conf.ecaade.2024.1.431,https://doi.org/10.52842/conf.ecaade.2024.1.431
10.46855/energy-proceedings-10969,https://doi.org/10.46855/energy-proceedings-10969
10.1108/SASBE-03-2024-0090,https://doi.org/10.1108/SASBE-03-2024-0090
10.18848/2325-128X/CGP/v18i02/1-30,https://doi.org/10.18848/2325-128X/CGP/v18i02/1-30
10.23919/ANNSIM61499.2024.10732810,https://doi.org/10.23919/ANNSIM61499.2024.10732810
10.58491/2735-4202.3134,https://doi.org/10.58491/2735-4202.3134
10.37868/sei.v6i2.id367,https://doi.org/10.37868/sei.v6i2.id367
10.23919/SpliTech61897.2024.10612439,https://doi.org/10.23919/SpliTech61897.2024.10612439
