doi,doi_url
10.26868/25746308.2022.simbuild2022_c026,https://doi.org/10.26868/25746308.2022.simbuild2022_c026
10.14627/537724064,https://doi.org/10.14627/537724064
10.1117/12.2612851,https://doi.org/10.1117/12.2612851
10.13189/cea.2022.100719,https://doi.org/10.13189/cea.2022.100719
10.13124/9788860461919_06,https://doi.org/10.13124/9788860461919_06
10.26868/25222708.2021.30432,https://doi.org/10.26868/25222708.2021.30432
10.2478/rtuect-2022-0096,https://doi.org/10.2478/rtuect-2022-0096
10.37575/b/sci/210082,https://doi.org/10.37575/b/sci/210082
10.47982/jfde.2022.powerskin.2,https://doi.org/10.47982/jfde.2022.powerskin.2
10.26868/25222708.2021.30864,https://doi.org/10.26868/25222708.2021.30864
10.15627/jd.2022.11,https://doi.org/10.15627/jd.2022.11
