doi,doi_url
10.1117/12.2193570,https://doi.org/10.1117/12.2193570
10.1558/jca.v2i1.27129,https://doi.org/10.1558/jca.v2i1.27129
10.1117/12.2193564,https://doi.org/10.1117/12.2193564
10.3844/ajassp.2014.1766.1772,https://doi.org/10.3844/ajassp.2014.1766.1772
10.2514/1.A32382,https://doi.org/10.2514/1.A32382
10.1162/LEON_a_00839,https://doi.org/10.1162/LEON_a_00839
10.1128/JVI.02017-13,https://doi.org/10.1128/JVI.02017-13
10.52842/conf.caadria.2014.055,https://doi.org/10.52842/conf.caadria.2014.055
10.52842/conf.acadia.2014.281,https://doi.org/10.52842/conf.acadia.2014.281
10.5555/2664323.2664329,https://doi.org/10.5555/2664323.2664329
