doi,doi_url
10.26868/25222708.2019.210635,https://doi.org/10.26868/25222708.2019.210635
10.1117/12.2522089,https://doi.org/10.1117/12.2522089
10.1556/1848.2018.9.2.5,https://doi.org/10.1556/1848.2018.9.2.5
10.1108/MEQ-01-2018-0008,https://doi.org/10.1108/MEQ-01-2018-0008
10.1556/1848.2018.9.1.6,https://doi.org/10.1556/1848.2018.9.1.6
10.3992/1943-4618.13.2.145,https://doi.org/10.3992/1943-4618.13.2.145
10.1063/1.5019104,https://doi.org/10.1063/1.5019104
10.52842/conf.caadria.2018.2.083,https://doi.org/10.52842/conf.caadria.2018.2.083
10.7480/jfde.2018.3.2530,https://doi.org/10.7480/jfde.2018.3.2530
10.7480/jfde.2018.3.2564,https://doi.org/10.7480/jfde.2018.3.2564
10.52842/conf.caadria.2018.2.143,https://doi.org/10.52842/conf.caadria.2018.2.143
