doi,doi_url
10.26830/symmetry_2025_4_397,https://doi.org/10.26830/symmetry_2025_4_397
10.56318/as/2.2024.136,https://doi.org/10.56318/as/2.2024.136
10.54338/27382656-2024.7-08,https://doi.org/10.54338/27382656-2024.7-08
10.4018/979-8-3693-6522-9.ch005,https://doi.org/10.4018/979-8-3693-6522-9.ch005
10.35378/gujs.1389930,https://doi.org/10.35378/gujs.1389930
10.15627/jd.2024.14,https://doi.org/10.15627/jd.2024.14
10.35378/gujs.1471707,https://doi.org/10.35378/gujs.1471707
10.15627/JD.2024.24,https://doi.org/10.15627/JD.2024.24
10.15627/jd.2024.26,https://doi.org/10.15627/jd.2024.26
10.1386/aps_00112_1,https://doi.org/10.1386/aps_00112_1
10.1103/PhysRevFluids.9.114604,https://doi.org/10.1103/PhysRevFluids.9.114604
