doi,doi_url
10.52842/conf.ecaade.2017.1.327,https://doi.org/10.52842/conf.ecaade.2017.1.327
10.5593/sgem2017H/63/S27.115,https://doi.org/10.5593/sgem2017H/63/S27.115
10.52842/conf.caadria.2017.521,https://doi.org/10.52842/conf.caadria.2017.521
10.3844/ajeassp.2016.713.723,https://doi.org/10.3844/ajeassp.2016.713.723
10.1063/1.4959379,https://doi.org/10.1063/1.4959379
10.52842/conf.caadria.2016.259,https://doi.org/10.52842/conf.caadria.2016.259
10.52842/conf.caadria.2016.425,https://doi.org/10.52842/conf.caadria.2016.425
10.4324/9781315775869,https://doi.org/10.4324/9781315775869
10.52842/conf.ecaade.2016.1.639,https://doi.org/10.52842/conf.ecaade.2016.1.639
10.1201/b20891-86,https://doi.org/10.1201/b20891-86
10.52842/conf.ecaade.2016.1.529,https://doi.org/10.52842/conf.ecaade.2016.1.529
