doi,doi_url
10.52842/conf.caadria.2022.1.151,https://doi.org/10.52842/conf.caadria.2022.1.151
10.47982/jfde.2022.1.03,https://doi.org/10.47982/jfde.2022.1.03
10.26868/25746308.2022.simbuild2022_c032,https://doi.org/10.26868/25746308.2022.simbuild2022_c032
10.23919/annsim55834.2022.9859413,https://doi.org/10.23919/annsim55834.2022.9859413
10.23919/ANNSIM55834.2022.9859413,https://doi.org/10.23919/ANNSIM55834.2022.9859413
10.21926/aeer.2203038,https://doi.org/10.21926/aeer.2203038
10.2749/nanjing.2022.1046,https://doi.org/10.2749/nanjing.2022.1046
10.26868/25222708.2021.30525,https://doi.org/10.26868/25222708.2021.30525
10.26868/25222708.2021.30753,https://doi.org/10.26868/25222708.2021.30753
10.14455/ISEC.2022.9(1).AAE-08,https://doi.org/10.14455/ISEC.2022.9(1).AAE-08
10.26868/25222708.2021.30754,https://doi.org/10.26868/25222708.2021.30754
