doi,doi_url
10.15627/jd.2026.5,https://doi.org/10.15627/jd.2026.5
10.1073/pnas.2535522123,https://doi.org/10.1073/pnas.2535522123
10.31202/ecjse.1786255,https://doi.org/10.31202/ecjse.1786255
10.1093/jcde/qwag038,https://doi.org/10.1093/jcde/qwag038
10.1117/12.3090546,https://doi.org/10.1117/12.3090546
10.1108/OHI-12-2024-0402,https://doi.org/10.1108/OHI-12-2024-0402
10.51461/issn.2309-3072/87.2744,https://doi.org/10.51461/issn.2309-3072/87.2744
10.30822/arteks.v11i1.4857,https://doi.org/10.30822/arteks.v11i1.4857
10.36922/JCAU025120026,https://doi.org/10.36922/JCAU025120026
10.1117/12.3098842,https://doi.org/10.1117/12.3098842
10.37868/hsd.v8i1.1973,https://doi.org/10.37868/hsd.v8i1.1973
