doi,doi_url
10.1007/978-981-97-8317-5_49,https://doi.org/10.1007/978-981-97-8317-5_49
10.1007/978-3-031-73247-8_10,https://doi.org/10.1007/978-3-031-73247-8_10
10.1007/978-3-032-06993-1_32,https://doi.org/10.1007/978-3-032-06993-1_32
10.1007/978-3-031-71863-2_22,https://doi.org/10.1007/978-3-031-71863-2_22
10.1007/s41062-024-01480-y,https://doi.org/10.1007/s41062-024-01480-y
10.1007/978-981-97-4988-1_70,https://doi.org/10.1007/978-981-97-4988-1_70
10.1007/978-981-99-7965-3_1,https://doi.org/10.1007/978-981-99-7965-3_1
10.1007/978-3-031-65877-8_1,https://doi.org/10.1007/978-3-031-65877-8_1
10.1007/978-3-031-54376-0_5,https://doi.org/10.1007/978-3-031-54376-0_5
10.1007/978-3-031-47794-2_19,https://doi.org/10.1007/978-3-031-47794-2_19
10.1007/978-3-031-74716-8_26,https://doi.org/10.1007/978-3-031-74716-8_26
