doi,doi_url
10.1007/978-981-96-4051-5_119,https://doi.org/10.1007/978-981-96-4051-5_119
10.1007/978-3-031-84224-5_29,https://doi.org/10.1007/978-3-031-84224-5_29
10.1007/978-981-97-8313-7_56,https://doi.org/10.1007/978-981-97-8313-7_56
10.1007/978-981-97-8313-7_44,https://doi.org/10.1007/978-981-97-8313-7_44
10.1007/978-981-95-3253-7_38,https://doi.org/10.1007/978-981-95-3253-7_38
10.1007/978-3-031-84282-5_15,https://doi.org/10.1007/978-3-031-84282-5_15
10.1007/978-981-96-8769-5_32,https://doi.org/10.1007/978-981-96-8769-5_32
10.1007/s12273-024-1211-9,https://doi.org/10.1007/s12273-024-1211-9
10.1007/978-981-97-7043-4_18,https://doi.org/10.1007/978-981-97-7043-4_18
10.1007/s43393-024-00300-9,https://doi.org/10.1007/s43393-024-00300-9
10.1007/978-3-032-06978-8_2,https://doi.org/10.1007/978-3-032-06978-8_2
