doi,doi_url
10.1007/978-981-10-1391-1_5,https://doi.org/10.1007/978-981-10-1391-1_5
10.1007/978-3-319-40542-1_72,https://doi.org/10.1007/978-3-319-40542-1_72
10.1007/978-94-017-7515-1_26,https://doi.org/10.1007/978-94-017-7515-1_26
10.1007/978-3-319-17777-9_65,https://doi.org/10.1007/978-3-319-17777-9_65
10.1007/s11465-015-0326-1,https://doi.org/10.1007/s11465-015-0326-1
10.1007/s12273-014-0194-3,https://doi.org/10.1007/s12273-014-0194-3
10.1007/978-3-662-47386-3_10,https://doi.org/10.1007/978-3-662-47386-3_10
10.1007/978-3-319-09287-4_5,https://doi.org/10.1007/978-3-319-09287-4_5
10.1007/978-3-662-47386-3_31,https://doi.org/10.1007/978-3-662-47386-3_31
10.1007/978-3-319-09411-3_18,https://doi.org/10.1007/978-3-319-09411-3_18
