doi,doi_url
10.1007/978-981-96-5527-4_38,https://doi.org/10.1007/978-981-96-5527-4_38
10.1007/978-3-032-09062-1_29,https://doi.org/10.1007/978-3-032-09062-1_29
10.1007/s00004-025-00831-1,https://doi.org/10.1007/s00004-025-00831-1
10.1007/s43621-025-02178-6,https://doi.org/10.1007/s43621-025-02178-6
10.1007/s44189-025-00089-9,https://doi.org/10.1007/s44189-025-00089-9
10.1007/s43621-025-00819-4,https://doi.org/10.1007/s43621-025-00819-4
10.1007/s44150-025-00156-0,https://doi.org/10.1007/s44150-025-00156-0
10.1007/s42107-025-01331-w,https://doi.org/10.1007/s42107-025-01331-w
10.1007/s12273-025-1246-6,https://doi.org/10.1007/s12273-025-1246-6
10.1007/s11012-024-01802-5,https://doi.org/10.1007/s11012-024-01802-5
10.1007/978-981-96-8769-5_10,https://doi.org/10.1007/978-981-96-8769-5_10
