doi,doi_url
10.1080/17452007.2016.1203676,https://doi.org/10.1080/17452007.2016.1203676
10.1080/19401493.2015.1134669,https://doi.org/10.1080/19401493.2015.1134669
10.1080/19401493.2015.1058421,https://doi.org/10.1080/19401493.2015.1058421
10.1080/17512549.2015.1040071,https://doi.org/10.1080/17512549.2015.1040071
10.1080/17512549.2015.1050694,https://doi.org/10.1080/17512549.2015.1050694
10.1080/17512549.2015.1014839,https://doi.org/10.1080/17512549.2015.1014839
10.1080/14786451.2013.796943,https://doi.org/10.1080/14786451.2013.796943
10.1080/10407782.2013.730422,https://doi.org/10.1080/10407782.2013.730422
10.1080/10789669.2011.615001,https://doi.org/10.1080/10789669.2011.615001
10.1080/15397734.2011.590775,https://doi.org/10.1080/15397734.2011.590775
