doi,doi_url
10.1080/13602365.2018.1527385,https://doi.org/10.1080/13602365.2018.1527385
10.1080/16864360.2018.1462566,https://doi.org/10.1080/16864360.2018.1462566
10.1080/17508975.2017.1394808,https://doi.org/10.1080/17508975.2017.1394808
10.1080/24751448.2018.1420964,https://doi.org/10.1080/24751448.2018.1420964
10.1080/00038628.2017.1337558,https://doi.org/10.1080/00038628.2017.1337558
10.1080/00038628.2017.1300132,https://doi.org/10.1080/00038628.2017.1300132
10.1080/17452007.2016.1274252,https://doi.org/10.1080/17452007.2016.1274252
10.1080/15397734.2016.1165117,https://doi.org/10.1080/15397734.2016.1165117
10.1080/19401493.2016.1152303,https://doi.org/10.1080/19401493.2016.1152303
10.1080/00038628.2016.1266991,https://doi.org/10.1080/00038628.2016.1266991
