doi,doi_url
10.1080/09613218.2010.496556,https://doi.org/10.1080/09613218.2010.496556
10.1080/19401490903580759,https://doi.org/10.1080/19401490903580759
10.1080/14733315.2009.11683853,https://doi.org/10.1080/14733315.2009.11683853
10.1080/19401490701868299,https://doi.org/10.1080/19401490701868299
10.1080/09613210210132919,https://doi.org/10.1080/09613210210132919
10.1080/00039890009603419,https://doi.org/10.1080/00039890009603419
10.1080/01430750.2000.9675350,https://doi.org/10.1080/01430750.2000.9675350
10.1080/002077200291000,https://doi.org/10.1080/002077200291000
10.1080/01425919708914330,https://doi.org/10.1080/01425919708914330
10.1080/00994480.1997.10748175,https://doi.org/10.1080/00994480.1997.10748175
