doi,doi_url
10.1080/17452007.2026.2658645,https://doi.org/10.1080/17452007.2026.2658645
10.1080/14733315.2025.2524918,https://doi.org/10.1080/14733315.2025.2524918
10.1080/13467581.2026.2633017,https://doi.org/10.1080/13467581.2026.2633017
10.1080/02678292.2026.2627357,https://doi.org/10.1080/02678292.2026.2627357
10.1080/13467581.2026.2620975,https://doi.org/10.1080/13467581.2026.2620975
10.1080/2159032X.2023.2228186,https://doi.org/10.1080/2159032X.2023.2228186
10.1080/17508975.2024.2448524,https://doi.org/10.1080/17508975.2024.2448524
10.1080/23744731.2025.2534771,https://doi.org/10.1080/23744731.2025.2534771
10.1080/19401493.2024.2432915,https://doi.org/10.1080/19401493.2024.2432915
10.1080/24751448.2025.2475720,https://doi.org/10.1080/24751448.2025.2475720
10.1080/19401493.2024.2432916,https://doi.org/10.1080/19401493.2024.2432916
