doi,doi_url
10.1002/adma.202511392,https://doi.org/10.1002/adma.202511392
10.1002/adsu.202500603,https://doi.org/10.1002/adsu.202500603
10.1002/ep.14621,https://doi.org/10.1002/ep.14621
10.1002/2475-8876.70059,https://doi.org/10.1002/2475-8876.70059
10.1002/solr.202400465,https://doi.org/10.1002/solr.202400465
10.1002/ad.3116,https://doi.org/10.1002/ad.3116
10.1002/adfm.202404721,https://doi.org/10.1002/adfm.202404721
10.1002/tal.2133,https://doi.org/10.1002/tal.2133
10.1002/adsu.202300253,https://doi.org/10.1002/adsu.202300253
10.1002/ad.2992,https://doi.org/10.1002/ad.2992
