eid,doi,doi_url,title,source,publisher
2-s2.0-105005070435,10.1016/j.buildenv.2025.113141,https://doi.org/10.1016/j.buildenv.2025.113141,Enhancing building envelope performance via dynamic PCM Integration in biomaterial concrete walls: A numerical evaluation and multi-objective optimization study,Building and Environment,elsevier
2-s2.0-85217251600,10.15627/jd.2025.1,https://doi.org/10.15627/jd.2025.1,Daylight Optimization of the South-Faced Architecture Classrooms Using Biomimicry-Based Kinetic Facade Shading System,Journal of Daylighting,other
2-s2.0-85196731286,10.52842/conf.caadria.2024.3.121,https://doi.org/10.52842/conf.caadria.2024.3.121,"3D PRINTING SELF-SHADING WALL STRUCTURE WITH EARTH: Enhancing thermal properties in Earthen Architecture through Computational tool path design, inspired by nature & vernacular architecture",Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia,other
2-s2.0-85196720354,10.52842/conf.caadria.2024.3.253,https://doi.org/10.52842/conf.caadria.2024.3.253,A METHOD FOR DESIGNING A BREATHING MODULAR WALL,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia,other
2-s2.0-85191187291,10.63044/s23hum57,https://doi.org/10.63044/s23hum57,The Impact of Thermally Adaptive Light Louvers Attached to Clerestories on Indoor Natural-Light Performance during the Winter Season,ASHRAE Transactions,other
2-s2.0-85191183630,10.63044/s23alm58,https://doi.org/10.63044/s23alm58,Improving the Performance of Thin-Film BIPV Using Thermally-Adaptive Composite Materials,ASHRAE Transactions,other
2-s2.0-85171749239,10.52202/069179-0511,https://doi.org/10.52202/069179-0511,USING CO-DESIGN FOR DEVELOPING A NEW WOODEN FAÇADE SYSTEM,13th World Conference on Timber Engineering Wcte 2023,other
2-s2.0-85097335556,10.13140/rg.2.2.19636.72327,https://doi.org/10.13140/rg.2.2.19636.72327,The adaptive envelope and its role in providing improvements for high-rise buildings performance,Journal of Engineering and Applied Science,other
2-s2.0-84904627935,10.52842/conf.caadria.2014.931,https://doi.org/10.52842/conf.caadria.2014.931,Analysing and visualizing the moving mechanisms of kinetic architecture,Rethinking Comprehensive Design Speculative Counterculture Proceedings of the 19th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2014,other
2-s2.0-84873864839,10.18086/swc.2011.17.30,https://doi.org/10.18086/swc.2011.17.30,Affect: Adaptive fenestration for emission-free cladding technology,30th Ises Biennial Solar World Congress 2011 Swc 2011,other
2-s2.0-33750892442,10.1017/s1431927606067109,https://doi.org/10.1017/s1431927606067109,The dynamic envelope of a fusion type 2 virus - Reorganizations observed during prefusion stages in semliki forest virus,Microscopy and Microanalysis,other
2-s2.0-11144284617,10.2749/101686604777963711,https://doi.org/10.2749/101686604777963711,"Milwaukee Art Museum addition, Wisconsin, USA",Structural Engineering International Journal of the International Association for Bridge and Structural Engineering IABSE,other
