,Computer science,Architectural engineering,Environmental science,Engineering,Shading,Facade,Building envelope,Daylight,Envelope (radar),Materials science,Daylighting,Thermal,Architecture,Energy consumption,Thermal comfort,Energy (signal processing),Systems engineering,Structural engineering,Photovoltaic system,Glazing,Efficient energy use,Process (computing),Simulation,Solar gain,Parametric statistics,Mechanical engineering,Control (management),Meteorology,Context (archaeology),Illuminance,Kinetic energy,GLARE,Artificial intelligence,Sustainability,Automotive engineering,Solar energy,Renewable energy,Civil engineering,Human–computer interaction,Adaptation (eye)
Computer science,0,405,169,213,195,176,121,156,117,55,108,48,127,75,49,83,112,42,62,31,55,87,86,15,66,47,66,17,43,40,49,47,65,26,21,17,17,13,52,37
Architectural engineering,405,0,201,259,96,179,118,109,52,24,93,37,93,66,75,64,83,24,36,47,69,39,19,15,22,22,35,23,32,13,23,30,3,44,20,17,34,47,21,23
Environmental science,169,201,0,90,135,76,77,87,45,53,61,89,6,42,73,39,9,14,38,41,32,3,22,49,14,5,12,74,14,28,22,27,1,7,24,31,19,27,1,5
Engineering,213,259,90,0,28,75,58,27,52,28,24,22,46,22,20,33,71,66,21,15,23,21,13,4,13,33,21,7,13,2,16,6,8,22,18,8,10,33,6,7
Shading,195,96,135,28,0,42,18,96,12,26,74,25,6,48,34,34,3,6,42,29,19,12,48,46,16,5,19,25,9,46,10,35,11,1,15,24,3,2,3,3
Facade,176,179,76,75,42,0,34,62,10,15,47,21,18,29,22,21,17,29,30,23,25,23,28,17,24,11,9,7,14,11,19,17,9,8,7,14,17,11,2,10
Building envelope,121,118,77,58,18,34,0,25,161,28,28,55,19,35,34,23,29,13,18,30,29,17,10,22,11,14,5,12,15,5,3,2,1,13,9,6,13,6,2,14
Daylight,156,109,87,27,96,62,25,0,9,5,131,10,6,47,21,22,3,2,18,44,19,12,43,17,14,2,20,14,11,60,12,54,6,3,12,6,9,3,3,3
Envelope (radar),117,52,45,52,12,10,161,9,0,16,11,38,9,17,17,23,12,18,4,10,14,12,6,6,8,13,10,7,7,3,6,0,4,4,7,3,4,4,2,9
Materials science,55,24,53,28,26,15,28,5,16,0,6,53,2,4,8,13,1,40,8,23,7,2,2,14,5,26,2,1,2,1,13,3,1,0,3,3,1,0,0,0
Daylighting,108,93,61,24,74,47,28,131,11,6,0,11,1,30,14,16,7,3,20,40,8,6,26,18,19,0,11,9,6,45,10,40,1,1,9,7,4,2,2,1
